"filename", "language", "Properties", "Markdown", "HTML", "JSON", "JavaScript", "Vue", "SCSS", "CSS", "XML", "comment", "blank", "total"
"/Users/sunshine/git/nrcp/bms/src/assets/json/goodsList.json", "JSON", 0, 0, 0, 550, 0, 0, 0, 0, 0, 0, 0, 550
"/Users/sunshine/git/nrcp/bms/src/assets/json/goodsListProd.json", "JSON", 0, 0, 0, 550, 0, 0, 0, 0, 0, 0, 0, 550
"/Users/sunshine/git/nrcp/bms/src/assets/json/region.json", "JSON", 0, 0, 0, 13723, 0, 0, 0, 0, 0, 0, 1, 13724
"/Users/sunshine/git/nrcp/bms/src/assets/theme/config.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/sunshine/git/nrcp/bms/src/assets/theme/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/sunshine/git/nrcp/bms/src/components/Breadcrumb.vue", "Vue", 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 4, 63
"/Users/sunshine/git/nrcp/bms/src/components/ChartBase.vue", "Vue", 0, 0, 0, 0, 0, 85, 0, 0, 0, 3, 6, 94
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentArticleAD.vue", "Vue", 0, 0, 0, 0, 0, 259, 0, 0, 0, 4, 5, 268
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentArticleNav.vue", "Vue", 0, 0, 0, 0, 0, 312, 0, 0, 0, 51, 2, 365
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentBuyNotice.vue", "Vue", 0, 0, 0, 0, 0, 162, 0, 0, 0, 5, 6, 173
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentClassify.vue", "Vue", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 105
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentCoupon.vue", "Vue", 0, 0, 0, 0, 0, 237, 0, 0, 0, 18, 12, 267
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentCube.vue", "Vue", 0, 0, 0, 0, 0, 287, 0, 0, 0, 2, 18, 307
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentDiscount.vue", "Vue", 0, 0, 0, 0, 0, 1343, 0, 0, 0, 16, 18, 1377
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentDiscountPackage.vue", "Vue", 0, 0, 0, 0, 0, 1200, 0, 0, 0, 10, 6, 1216
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentEnterShop.vue", "Vue", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 4, 93
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentFullReduction.vue", "Vue", 0, 0, 0, 0, 0, 183, 0, 0, 0, 4, 6, 193
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentGoods.vue", "Vue", 0, 0, 0, 0, 0, 1028, 0, 0, 0, 17, 15, 1060
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentGoodsGroup.vue", "Vue", 0, 0, 0, 0, 0, 366, 0, 0, 0, 23, 6, 395
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentGoodsSearch.vue", "Vue", 0, 0, 0, 0, 0, 161, 0, 0, 0, 1, 4, 166
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentHelpBlank.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 6, 40
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentHelpLine.vue", "Vue", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 53
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentMultiPerson.vue", "Vue", 0, 0, 0, 0, 0, 1451, 0, 0, 0, 11, 16, 1478
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentNotice.vue", "Vue", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentNyuan.vue", "Vue", 0, 0, 0, 0, 0, 1177, 0, 0, 0, 11, 9, 1197
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentPageInfo.vue", "Vue", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentRichEditor.vue", "Vue", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentSecondkill.vue", "Vue", 0, 0, 0, 0, 0, 1331, 0, 0, 0, 14, 12, 1357
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentShopInfo.vue", "Vue", 0, 0, 0, 0, 0, 418, 0, 0, 0, 8, 4, 430
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentText.vue", "Vue", 0, 0, 0, 0, 0, 73, 0, 0, 0, 2, 5, 80
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentTitle.vue", "Vue", 0, 0, 0, 0, 0, 97, 0, 0, 0, 1, 5, 103
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/comps/componentVideo.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 59
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/config/widgetConfig.js", "JavaScript", 0, 0, 0, 0, 233, 0, 0, 0, 0, 12, 8, 253
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/editView.vue", "Vue", 0, 0, 0, 0, 0, 332, 0, 0, 0, 44, 31, 407
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/index.vue", "Vue", 0, 0, 0, 0, 0, 144, 0, 0, 0, 14, 18, 176
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/mixins/mixinComps.vue", "Vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/mixins/mixinProps.vue", "Vue", 0, 0, 0, 0, 0, 71, 0, 0, 0, 4, 4, 79
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/propView.vue", "Vue", 0, 0, 0, 0, 0, 98, 0, 0, 0, 2, 8, 108
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyArticleAD.vue", "Vue", 0, 0, 0, 0, 0, 342, 0, 0, 0, 14, 18, 374
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyArticleNav.vue", "Vue", 0, 0, 0, 0, 0, 324, 0, 0, 0, 8, 12, 344
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyBuyNotice.vue", "Vue", 0, 0, 0, 0, 0, 130, 0, 0, 0, 2, 5, 137
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyClassify.vue", "Vue", 0, 0, 0, 0, 0, 123, 0, 0, 0, 7, 10, 140
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyCoupon.vue", "Vue", 0, 0, 0, 0, 0, 217, 0, 0, 0, 5, 12, 234
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyCube.vue", "Vue", 0, 0, 0, 0, 0, 390, 0, 0, 0, 8, 12, 410
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyDiscount.vue", "Vue", 0, 0, 0, 0, 0, 240, 0, 0, 0, 4, 15, 259
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyDiscountPackage.vue", "Vue", 0, 0, 0, 0, 0, 225, 0, 0, 0, 3, 13, 241
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyEnterShop.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyFullReduction.vue", "Vue", 0, 0, 0, 0, 0, 114, 0, 0, 0, 2, 7, 123
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyGoods.vue", "Vue", 0, 0, 0, 0, 0, 352, 0, 0, 0, 11, 22, 385
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyGoodsGroup.vue", "Vue", 0, 0, 0, 0, 0, 250, 0, 0, 0, 3, 14, 267
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyGoodsSearch.vue", "Vue", 0, 0, 0, 0, 0, 153, 0, 0, 0, 1, 5, 159
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyHelpBlank.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyHelpLine.vue", "Vue", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 57
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyMultiPerson.vue", "Vue", 0, 0, 0, 0, 0, 318, 0, 0, 0, 5, 18, 341
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyNotice.vue", "Vue", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 57
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyNyuan.vue", "Vue", 0, 0, 0, 0, 0, 227, 0, 0, 0, 3, 12, 242
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyPageInfo.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 3, 5, 132
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyRichEditor.vue", "Vue", 0, 0, 0, 0, 0, 75, 0, 0, 0, 4, 10, 89
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertySecondkill.vue", "Vue", 0, 0, 0, 0, 0, 230, 0, 0, 0, 3, 12, 245
"/Users/sunshine/git/nrcp/bms/src/components/Decorate/props/propertyShopInfo.vue", "Vue", 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 9, 70
